name,id,type,entry_url,north,south,east,west,url,fields
zg_Amon_CNRM-AM6-DIA-v2_Land4xCO2_r1i1p1_196901-200812.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0NOUk0tQU02LURJQS12Mi9MYW5kNHhDTzIvQW1vbi96Z19BbW9uX0NOUk0tQU02LURJQS12Ml9MYW5kNHhDTzJfcjFpMXAxXzE5NjkwMS0yMDA4MTIubmM=,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0NOUk0tQU02LURJQS12Mi9MYW5kNHhDTzIvQW1vbi96Z19BbW9uX0NOUk0tQU02LURJQS12Ml9MYW5kNHhDTzJfcjFpMXAxXzE5NjkwMS0yMDA4MTIubmM%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/zg_Amon_CNRM-AM6-DIA-v2_Land4xCO2_r1i1p1_196901-200812.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0NOUk0tQU02LURJQS12Mi9MYW5kNHhDTzIvQW1vbi96Z19BbW9uX0NOUk0tQU02LURJQS12Ml9MYW5kNHhDTzJfcjFpMXAxXzE5NjkwMS0yMDA4MTIubmM%3D,
wap_Amon_CNRM-AM6-DIA-v2_Land4xCO2_r1i1p1_196901-200812.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0NOUk0tQU02LURJQS12Mi9MYW5kNHhDTzIvQW1vbi93YXBfQW1vbl9DTlJNLUFNNi1ESUEtdjJfTGFuZDR4Q08yX3IxaTFwMV8xOTY5MDEtMjAwODEyLm5j,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0NOUk0tQU02LURJQS12Mi9MYW5kNHhDTzIvQW1vbi93YXBfQW1vbl9DTlJNLUFNNi1ESUEtdjJfTGFuZDR4Q08yX3IxaTFwMV8xOTY5MDEtMjAwODEyLm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/wap_Amon_CNRM-AM6-DIA-v2_Land4xCO2_r1i1p1_196901-200812.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0NOUk0tQU02LURJQS12Mi9MYW5kNHhDTzIvQW1vbi93YXBfQW1vbl9DTlJNLUFNNi1ESUEtdjJfTGFuZDR4Q08yX3IxaTFwMV8xOTY5MDEtMjAwODEyLm5j,
va_Amon_CNRM-AM6-DIA-v2_Land4xCO2_r1i1p1_196901-200812.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0NOUk0tQU02LURJQS12Mi9MYW5kNHhDTzIvQW1vbi92YV9BbW9uX0NOUk0tQU02LURJQS12Ml9MYW5kNHhDTzJfcjFpMXAxXzE5NjkwMS0yMDA4MTIubmM=,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0NOUk0tQU02LURJQS12Mi9MYW5kNHhDTzIvQW1vbi92YV9BbW9uX0NOUk0tQU02LURJQS12Ml9MYW5kNHhDTzJfcjFpMXAxXzE5NjkwMS0yMDA4MTIubmM%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/va_Amon_CNRM-AM6-DIA-v2_Land4xCO2_r1i1p1_196901-200812.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0NOUk0tQU02LURJQS12Mi9MYW5kNHhDTzIvQW1vbi92YV9BbW9uX0NOUk0tQU02LURJQS12Ml9MYW5kNHhDTzJfcjFpMXAxXzE5NjkwMS0yMDA4MTIubmM%3D,
ua_Amon_CNRM-AM6-DIA-v2_Land4xCO2_r1i1p1_196901-200812.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0NOUk0tQU02LURJQS12Mi9MYW5kNHhDTzIvQW1vbi91YV9BbW9uX0NOUk0tQU02LURJQS12Ml9MYW5kNHhDTzJfcjFpMXAxXzE5NjkwMS0yMDA4MTIubmM=,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0NOUk0tQU02LURJQS12Mi9MYW5kNHhDTzIvQW1vbi91YV9BbW9uX0NOUk0tQU02LURJQS12Ml9MYW5kNHhDTzJfcjFpMXAxXzE5NjkwMS0yMDA4MTIubmM%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/ua_Amon_CNRM-AM6-DIA-v2_Land4xCO2_r1i1p1_196901-200812.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0NOUk0tQU02LURJQS12Mi9MYW5kNHhDTzIvQW1vbi91YV9BbW9uX0NOUk0tQU02LURJQS12Ml9MYW5kNHhDTzJfcjFpMXAxXzE5NjkwMS0yMDA4MTIubmM%3D,
ts_Amon_CNRM-AM6-DIA-v2_Land4xCO2_r1i1p1_196901-200812.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0NOUk0tQU02LURJQS12Mi9MYW5kNHhDTzIvQW1vbi90c19BbW9uX0NOUk0tQU02LURJQS12Ml9MYW5kNHhDTzJfcjFpMXAxXzE5NjkwMS0yMDA4MTIubmM=,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0NOUk0tQU02LURJQS12Mi9MYW5kNHhDTzIvQW1vbi90c19BbW9uX0NOUk0tQU02LURJQS12Ml9MYW5kNHhDTzJfcjFpMXAxXzE5NjkwMS0yMDA4MTIubmM%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/ts_Amon_CNRM-AM6-DIA-v2_Land4xCO2_r1i1p1_196901-200812.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0NOUk0tQU02LURJQS12Mi9MYW5kNHhDTzIvQW1vbi90c19BbW9uX0NOUk0tQU02LURJQS12Ml9MYW5kNHhDTzJfcjFpMXAxXzE5NjkwMS0yMDA4MTIubmM%3D,
tas_Amon_CNRM-AM6-DIA-v2_Land4xCO2_r1i1p1_196901-200812.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0NOUk0tQU02LURJQS12Mi9MYW5kNHhDTzIvQW1vbi90YXNfQW1vbl9DTlJNLUFNNi1ESUEtdjJfTGFuZDR4Q08yX3IxaTFwMV8xOTY5MDEtMjAwODEyLm5j,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0NOUk0tQU02LURJQS12Mi9MYW5kNHhDTzIvQW1vbi90YXNfQW1vbl9DTlJNLUFNNi1ESUEtdjJfTGFuZDR4Q08yX3IxaTFwMV8xOTY5MDEtMjAwODEyLm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/tas_Amon_CNRM-AM6-DIA-v2_Land4xCO2_r1i1p1_196901-200812.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0NOUk0tQU02LURJQS12Mi9MYW5kNHhDTzIvQW1vbi90YXNfQW1vbl9DTlJNLUFNNi1ESUEtdjJfTGFuZDR4Q08yX3IxaTFwMV8xOTY5MDEtMjAwODEyLm5j,
ta_Amon_CNRM-AM6-DIA-v2_Land4xCO2_r1i1p1_196901-200812.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0NOUk0tQU02LURJQS12Mi9MYW5kNHhDTzIvQW1vbi90YV9BbW9uX0NOUk0tQU02LURJQS12Ml9MYW5kNHhDTzJfcjFpMXAxXzE5NjkwMS0yMDA4MTIubmM=,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0NOUk0tQU02LURJQS12Mi9MYW5kNHhDTzIvQW1vbi90YV9BbW9uX0NOUk0tQU02LURJQS12Ml9MYW5kNHhDTzJfcjFpMXAxXzE5NjkwMS0yMDA4MTIubmM%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/ta_Amon_CNRM-AM6-DIA-v2_Land4xCO2_r1i1p1_196901-200812.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0NOUk0tQU02LURJQS12Mi9MYW5kNHhDTzIvQW1vbi90YV9BbW9uX0NOUk0tQU02LURJQS12Ml9MYW5kNHhDTzJfcjFpMXAxXzE5NjkwMS0yMDA4MTIubmM%3D,
rsutcs_Amon_CNRM-AM6-DIA-v2_Land4xCO2_r1i1p1_196901-200812.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0NOUk0tQU02LURJQS12Mi9MYW5kNHhDTzIvQW1vbi9yc3V0Y3NfQW1vbl9DTlJNLUFNNi1ESUEtdjJfTGFuZDR4Q08yX3IxaTFwMV8xOTY5MDEtMjAwODEyLm5j,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0NOUk0tQU02LURJQS12Mi9MYW5kNHhDTzIvQW1vbi9yc3V0Y3NfQW1vbl9DTlJNLUFNNi1ESUEtdjJfTGFuZDR4Q08yX3IxaTFwMV8xOTY5MDEtMjAwODEyLm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/rsutcs_Amon_CNRM-AM6-DIA-v2_Land4xCO2_r1i1p1_196901-200812.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0NOUk0tQU02LURJQS12Mi9MYW5kNHhDTzIvQW1vbi9yc3V0Y3NfQW1vbl9DTlJNLUFNNi1ESUEtdjJfTGFuZDR4Q08yX3IxaTFwMV8xOTY5MDEtMjAwODEyLm5j,
rsut_Amon_CNRM-AM6-DIA-v2_Land4xCO2_r1i1p1_196901-200812.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0NOUk0tQU02LURJQS12Mi9MYW5kNHhDTzIvQW1vbi9yc3V0X0Ftb25fQ05STS1BTTYtRElBLXYyX0xhbmQ0eENPMl9yMWkxcDFfMTk2OTAxLTIwMDgxMi5uYw==,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0NOUk0tQU02LURJQS12Mi9MYW5kNHhDTzIvQW1vbi9yc3V0X0Ftb25fQ05STS1BTTYtRElBLXYyX0xhbmQ0eENPMl9yMWkxcDFfMTk2OTAxLTIwMDgxMi5uYw%3D%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/rsut_Amon_CNRM-AM6-DIA-v2_Land4xCO2_r1i1p1_196901-200812.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0NOUk0tQU02LURJQS12Mi9MYW5kNHhDTzIvQW1vbi9yc3V0X0Ftb25fQ05STS1BTTYtRElBLXYyX0xhbmQ0eENPMl9yMWkxcDFfMTk2OTAxLTIwMDgxMi5uYw%3D%3D,
rsuscs_Amon_CNRM-AM6-DIA-v2_Land4xCO2_r1i1p1_196901-200812.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0NOUk0tQU02LURJQS12Mi9MYW5kNHhDTzIvQW1vbi9yc3VzY3NfQW1vbl9DTlJNLUFNNi1ESUEtdjJfTGFuZDR4Q08yX3IxaTFwMV8xOTY5MDEtMjAwODEyLm5j,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0NOUk0tQU02LURJQS12Mi9MYW5kNHhDTzIvQW1vbi9yc3VzY3NfQW1vbl9DTlJNLUFNNi1ESUEtdjJfTGFuZDR4Q08yX3IxaTFwMV8xOTY5MDEtMjAwODEyLm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/rsuscs_Amon_CNRM-AM6-DIA-v2_Land4xCO2_r1i1p1_196901-200812.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0NOUk0tQU02LURJQS12Mi9MYW5kNHhDTzIvQW1vbi9yc3VzY3NfQW1vbl9DTlJNLUFNNi1ESUEtdjJfTGFuZDR4Q08yX3IxaTFwMV8xOTY5MDEtMjAwODEyLm5j,
