name,id,type,entry_url,north,south,east,west,url,fields
zg_Amon_CNRM-AM6-DIA-v2_LandControl_r1i1p1_196901-200812.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0NOUk0tQU02LURJQS12Mi9MYW5kQ29udHJvbC9BbW9uL3pnX0Ftb25fQ05STS1BTTYtRElBLXYyX0xhbmRDb250cm9sX3IxaTFwMV8xOTY5MDEtMjAwODEyLm5j,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0NOUk0tQU02LURJQS12Mi9MYW5kQ29udHJvbC9BbW9uL3pnX0Ftb25fQ05STS1BTTYtRElBLXYyX0xhbmRDb250cm9sX3IxaTFwMV8xOTY5MDEtMjAwODEyLm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/zg_Amon_CNRM-AM6-DIA-v2_LandControl_r1i1p1_196901-200812.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0NOUk0tQU02LURJQS12Mi9MYW5kQ29udHJvbC9BbW9uL3pnX0Ftb25fQ05STS1BTTYtRElBLXYyX0xhbmRDb250cm9sX3IxaTFwMV8xOTY5MDEtMjAwODEyLm5j,
wap_Amon_CNRM-AM6-DIA-v2_LandControl_r1i1p1_196901-200812.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0NOUk0tQU02LURJQS12Mi9MYW5kQ29udHJvbC9BbW9uL3dhcF9BbW9uX0NOUk0tQU02LURJQS12Ml9MYW5kQ29udHJvbF9yMWkxcDFfMTk2OTAxLTIwMDgxMi5uYw==,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0NOUk0tQU02LURJQS12Mi9MYW5kQ29udHJvbC9BbW9uL3dhcF9BbW9uX0NOUk0tQU02LURJQS12Ml9MYW5kQ29udHJvbF9yMWkxcDFfMTk2OTAxLTIwMDgxMi5uYw%3D%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/wap_Amon_CNRM-AM6-DIA-v2_LandControl_r1i1p1_196901-200812.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0NOUk0tQU02LURJQS12Mi9MYW5kQ29udHJvbC9BbW9uL3dhcF9BbW9uX0NOUk0tQU02LURJQS12Ml9MYW5kQ29udHJvbF9yMWkxcDFfMTk2OTAxLTIwMDgxMi5uYw%3D%3D,
va_Amon_CNRM-AM6-DIA-v2_LandControl_r1i1p1_196901-200812.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0NOUk0tQU02LURJQS12Mi9MYW5kQ29udHJvbC9BbW9uL3ZhX0Ftb25fQ05STS1BTTYtRElBLXYyX0xhbmRDb250cm9sX3IxaTFwMV8xOTY5MDEtMjAwODEyLm5j,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0NOUk0tQU02LURJQS12Mi9MYW5kQ29udHJvbC9BbW9uL3ZhX0Ftb25fQ05STS1BTTYtRElBLXYyX0xhbmRDb250cm9sX3IxaTFwMV8xOTY5MDEtMjAwODEyLm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/va_Amon_CNRM-AM6-DIA-v2_LandControl_r1i1p1_196901-200812.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0NOUk0tQU02LURJQS12Mi9MYW5kQ29udHJvbC9BbW9uL3ZhX0Ftb25fQ05STS1BTTYtRElBLXYyX0xhbmRDb250cm9sX3IxaTFwMV8xOTY5MDEtMjAwODEyLm5j,
ua_Amon_CNRM-AM6-DIA-v2_LandControl_r1i1p1_196901-200812.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0NOUk0tQU02LURJQS12Mi9MYW5kQ29udHJvbC9BbW9uL3VhX0Ftb25fQ05STS1BTTYtRElBLXYyX0xhbmRDb250cm9sX3IxaTFwMV8xOTY5MDEtMjAwODEyLm5j,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0NOUk0tQU02LURJQS12Mi9MYW5kQ29udHJvbC9BbW9uL3VhX0Ftb25fQ05STS1BTTYtRElBLXYyX0xhbmRDb250cm9sX3IxaTFwMV8xOTY5MDEtMjAwODEyLm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/ua_Amon_CNRM-AM6-DIA-v2_LandControl_r1i1p1_196901-200812.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0NOUk0tQU02LURJQS12Mi9MYW5kQ29udHJvbC9BbW9uL3VhX0Ftb25fQ05STS1BTTYtRElBLXYyX0xhbmRDb250cm9sX3IxaTFwMV8xOTY5MDEtMjAwODEyLm5j,
ts_Amon_CNRM-AM6-DIA-v2_LandControl_r1i1p1_196901-200812.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0NOUk0tQU02LURJQS12Mi9MYW5kQ29udHJvbC9BbW9uL3RzX0Ftb25fQ05STS1BTTYtRElBLXYyX0xhbmRDb250cm9sX3IxaTFwMV8xOTY5MDEtMjAwODEyLm5j,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0NOUk0tQU02LURJQS12Mi9MYW5kQ29udHJvbC9BbW9uL3RzX0Ftb25fQ05STS1BTTYtRElBLXYyX0xhbmRDb250cm9sX3IxaTFwMV8xOTY5MDEtMjAwODEyLm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/ts_Amon_CNRM-AM6-DIA-v2_LandControl_r1i1p1_196901-200812.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0NOUk0tQU02LURJQS12Mi9MYW5kQ29udHJvbC9BbW9uL3RzX0Ftb25fQ05STS1BTTYtRElBLXYyX0xhbmRDb250cm9sX3IxaTFwMV8xOTY5MDEtMjAwODEyLm5j,
tas_Amon_CNRM-AM6-DIA-v2_LandControl_r1i1p1_196901-200812.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0NOUk0tQU02LURJQS12Mi9MYW5kQ29udHJvbC9BbW9uL3Rhc19BbW9uX0NOUk0tQU02LURJQS12Ml9MYW5kQ29udHJvbF9yMWkxcDFfMTk2OTAxLTIwMDgxMi5uYw==,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0NOUk0tQU02LURJQS12Mi9MYW5kQ29udHJvbC9BbW9uL3Rhc19BbW9uX0NOUk0tQU02LURJQS12Ml9MYW5kQ29udHJvbF9yMWkxcDFfMTk2OTAxLTIwMDgxMi5uYw%3D%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/tas_Amon_CNRM-AM6-DIA-v2_LandControl_r1i1p1_196901-200812.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0NOUk0tQU02LURJQS12Mi9MYW5kQ29udHJvbC9BbW9uL3Rhc19BbW9uX0NOUk0tQU02LURJQS12Ml9MYW5kQ29udHJvbF9yMWkxcDFfMTk2OTAxLTIwMDgxMi5uYw%3D%3D,
ta_Amon_CNRM-AM6-DIA-v2_LandControl_r1i1p1_196901-200812.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0NOUk0tQU02LURJQS12Mi9MYW5kQ29udHJvbC9BbW9uL3RhX0Ftb25fQ05STS1BTTYtRElBLXYyX0xhbmRDb250cm9sX3IxaTFwMV8xOTY5MDEtMjAwODEyLm5j,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0NOUk0tQU02LURJQS12Mi9MYW5kQ29udHJvbC9BbW9uL3RhX0Ftb25fQ05STS1BTTYtRElBLXYyX0xhbmRDb250cm9sX3IxaTFwMV8xOTY5MDEtMjAwODEyLm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/ta_Amon_CNRM-AM6-DIA-v2_LandControl_r1i1p1_196901-200812.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0NOUk0tQU02LURJQS12Mi9MYW5kQ29udHJvbC9BbW9uL3RhX0Ftb25fQ05STS1BTTYtRElBLXYyX0xhbmRDb250cm9sX3IxaTFwMV8xOTY5MDEtMjAwODEyLm5j,
rsutcs_Amon_CNRM-AM6-DIA-v2_LandControl_r1i1p1_196901-200812.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0NOUk0tQU02LURJQS12Mi9MYW5kQ29udHJvbC9BbW9uL3JzdXRjc19BbW9uX0NOUk0tQU02LURJQS12Ml9MYW5kQ29udHJvbF9yMWkxcDFfMTk2OTAxLTIwMDgxMi5uYw==,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0NOUk0tQU02LURJQS12Mi9MYW5kQ29udHJvbC9BbW9uL3JzdXRjc19BbW9uX0NOUk0tQU02LURJQS12Ml9MYW5kQ29udHJvbF9yMWkxcDFfMTk2OTAxLTIwMDgxMi5uYw%3D%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/rsutcs_Amon_CNRM-AM6-DIA-v2_LandControl_r1i1p1_196901-200812.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0NOUk0tQU02LURJQS12Mi9MYW5kQ29udHJvbC9BbW9uL3JzdXRjc19BbW9uX0NOUk0tQU02LURJQS12Ml9MYW5kQ29udHJvbF9yMWkxcDFfMTk2OTAxLTIwMDgxMi5uYw%3D%3D,
rsut_Amon_CNRM-AM6-DIA-v2_LandControl_r1i1p1_196901-200812.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0NOUk0tQU02LURJQS12Mi9MYW5kQ29udHJvbC9BbW9uL3JzdXRfQW1vbl9DTlJNLUFNNi1ESUEtdjJfTGFuZENvbnRyb2xfcjFpMXAxXzE5NjkwMS0yMDA4MTIubmM=,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0NOUk0tQU02LURJQS12Mi9MYW5kQ29udHJvbC9BbW9uL3JzdXRfQW1vbl9DTlJNLUFNNi1ESUEtdjJfTGFuZENvbnRyb2xfcjFpMXAxXzE5NjkwMS0yMDA4MTIubmM%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/rsut_Amon_CNRM-AM6-DIA-v2_LandControl_r1i1p1_196901-200812.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0NOUk0tQU02LURJQS12Mi9MYW5kQ29udHJvbC9BbW9uL3JzdXRfQW1vbl9DTlJNLUFNNi1ESUEtdjJfTGFuZENvbnRyb2xfcjFpMXAxXzE5NjkwMS0yMDA4MTIubmM%3D,
rsuscs_Amon_CNRM-AM6-DIA-v2_LandControl_r1i1p1_196901-200812.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0NOUk0tQU02LURJQS12Mi9MYW5kQ29udHJvbC9BbW9uL3JzdXNjc19BbW9uX0NOUk0tQU02LURJQS12Ml9MYW5kQ29udHJvbF9yMWkxcDFfMTk2OTAxLTIwMDgxMi5uYw==,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0NOUk0tQU02LURJQS12Mi9MYW5kQ29udHJvbC9BbW9uL3JzdXNjc19BbW9uX0NOUk0tQU02LURJQS12Ml9MYW5kQ29udHJvbF9yMWkxcDFfMTk2OTAxLTIwMDgxMi5uYw%3D%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/rsuscs_Amon_CNRM-AM6-DIA-v2_LandControl_r1i1p1_196901-200812.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0NOUk0tQU02LURJQS12Mi9MYW5kQ29udHJvbC9BbW9uL3JzdXNjc19BbW9uX0NOUk0tQU02LURJQS12Ml9MYW5kQ29udHJvbF9yMWkxcDFfMTk2OTAxLTIwMDgxMi5uYw%3D%3D,
