name,id,type,entry_url,north,south,east,west,url,fields
zg_Amon_echam6-1_AquaControl_r1i1p1_001601-004512.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0VDSEFNLTYuMS9BcXVhQ29udHJvbC9BbW9uL3pnX0Ftb25fZWNoYW02LTFfQXF1YUNvbnRyb2xfcjFpMXAxXzAwMTYwMS0wMDQ1MTIubmM=,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0VDSEFNLTYuMS9BcXVhQ29udHJvbC9BbW9uL3pnX0Ftb25fZWNoYW02LTFfQXF1YUNvbnRyb2xfcjFpMXAxXzAwMTYwMS0wMDQ1MTIubmM%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/zg_Amon_echam6-1_AquaControl_r1i1p1_001601-004512.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0VDSEFNLTYuMS9BcXVhQ29udHJvbC9BbW9uL3pnX0Ftb25fZWNoYW02LTFfQXF1YUNvbnRyb2xfcjFpMXAxXzAwMTYwMS0wMDQ1MTIubmM%3D,
wap_Amon_echam6-1_AquaControl_r1i1p1_001601-004512.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0VDSEFNLTYuMS9BcXVhQ29udHJvbC9BbW9uL3dhcF9BbW9uX2VjaGFtNi0xX0FxdWFDb250cm9sX3IxaTFwMV8wMDE2MDEtMDA0NTEyLm5j,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0VDSEFNLTYuMS9BcXVhQ29udHJvbC9BbW9uL3dhcF9BbW9uX2VjaGFtNi0xX0FxdWFDb250cm9sX3IxaTFwMV8wMDE2MDEtMDA0NTEyLm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/wap_Amon_echam6-1_AquaControl_r1i1p1_001601-004512.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0VDSEFNLTYuMS9BcXVhQ29udHJvbC9BbW9uL3dhcF9BbW9uX2VjaGFtNi0xX0FxdWFDb250cm9sX3IxaTFwMV8wMDE2MDEtMDA0NTEyLm5j,
vas_Amon_echam6-1_AquaControl_r1i1p1_001601-004512.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0VDSEFNLTYuMS9BcXVhQ29udHJvbC9BbW9uL3Zhc19BbW9uX2VjaGFtNi0xX0FxdWFDb250cm9sX3IxaTFwMV8wMDE2MDEtMDA0NTEyLm5j,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0VDSEFNLTYuMS9BcXVhQ29udHJvbC9BbW9uL3Zhc19BbW9uX2VjaGFtNi0xX0FxdWFDb250cm9sX3IxaTFwMV8wMDE2MDEtMDA0NTEyLm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/vas_Amon_echam6-1_AquaControl_r1i1p1_001601-004512.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0VDSEFNLTYuMS9BcXVhQ29udHJvbC9BbW9uL3Zhc19BbW9uX2VjaGFtNi0xX0FxdWFDb250cm9sX3IxaTFwMV8wMDE2MDEtMDA0NTEyLm5j,
va_Amon_echam6-1_AquaControl_r1i1p1_001601-004512.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0VDSEFNLTYuMS9BcXVhQ29udHJvbC9BbW9uL3ZhX0Ftb25fZWNoYW02LTFfQXF1YUNvbnRyb2xfcjFpMXAxXzAwMTYwMS0wMDQ1MTIubmM=,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0VDSEFNLTYuMS9BcXVhQ29udHJvbC9BbW9uL3ZhX0Ftb25fZWNoYW02LTFfQXF1YUNvbnRyb2xfcjFpMXAxXzAwMTYwMS0wMDQ1MTIubmM%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/va_Amon_echam6-1_AquaControl_r1i1p1_001601-004512.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0VDSEFNLTYuMS9BcXVhQ29udHJvbC9BbW9uL3ZhX0Ftb25fZWNoYW02LTFfQXF1YUNvbnRyb2xfcjFpMXAxXzAwMTYwMS0wMDQ1MTIubmM%3D,
uas_Amon_echam6-1_AquaControl_r1i1p1_001601-004512.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0VDSEFNLTYuMS9BcXVhQ29udHJvbC9BbW9uL3Vhc19BbW9uX2VjaGFtNi0xX0FxdWFDb250cm9sX3IxaTFwMV8wMDE2MDEtMDA0NTEyLm5j,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0VDSEFNLTYuMS9BcXVhQ29udHJvbC9BbW9uL3Vhc19BbW9uX2VjaGFtNi0xX0FxdWFDb250cm9sX3IxaTFwMV8wMDE2MDEtMDA0NTEyLm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/uas_Amon_echam6-1_AquaControl_r1i1p1_001601-004512.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0VDSEFNLTYuMS9BcXVhQ29udHJvbC9BbW9uL3Vhc19BbW9uX2VjaGFtNi0xX0FxdWFDb250cm9sX3IxaTFwMV8wMDE2MDEtMDA0NTEyLm5j,
ua_Amon_echam6-1_AquaControl_r1i1p1_001601-004512.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0VDSEFNLTYuMS9BcXVhQ29udHJvbC9BbW9uL3VhX0Ftb25fZWNoYW02LTFfQXF1YUNvbnRyb2xfcjFpMXAxXzAwMTYwMS0wMDQ1MTIubmM=,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0VDSEFNLTYuMS9BcXVhQ29udHJvbC9BbW9uL3VhX0Ftb25fZWNoYW02LTFfQXF1YUNvbnRyb2xfcjFpMXAxXzAwMTYwMS0wMDQ1MTIubmM%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/ua_Amon_echam6-1_AquaControl_r1i1p1_001601-004512.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0VDSEFNLTYuMS9BcXVhQ29udHJvbC9BbW9uL3VhX0Ftb25fZWNoYW02LTFfQXF1YUNvbnRyb2xfcjFpMXAxXzAwMTYwMS0wMDQ1MTIubmM%3D,
ts_Amon_echam6-1_AquaControl_r1i1p1_001601-004512.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0VDSEFNLTYuMS9BcXVhQ29udHJvbC9BbW9uL3RzX0Ftb25fZWNoYW02LTFfQXF1YUNvbnRyb2xfcjFpMXAxXzAwMTYwMS0wMDQ1MTIubmM=,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0VDSEFNLTYuMS9BcXVhQ29udHJvbC9BbW9uL3RzX0Ftb25fZWNoYW02LTFfQXF1YUNvbnRyb2xfcjFpMXAxXzAwMTYwMS0wMDQ1MTIubmM%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/ts_Amon_echam6-1_AquaControl_r1i1p1_001601-004512.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0VDSEFNLTYuMS9BcXVhQ29udHJvbC9BbW9uL3RzX0Ftb25fZWNoYW02LTFfQXF1YUNvbnRyb2xfcjFpMXAxXzAwMTYwMS0wMDQ1MTIubmM%3D,
tauv_Amon_echam6-1_AquaControl_r1i1p1_001601-004512.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0VDSEFNLTYuMS9BcXVhQ29udHJvbC9BbW9uL3RhdXZfQW1vbl9lY2hhbTYtMV9BcXVhQ29udHJvbF9yMWkxcDFfMDAxNjAxLTAwNDUxMi5uYw==,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0VDSEFNLTYuMS9BcXVhQ29udHJvbC9BbW9uL3RhdXZfQW1vbl9lY2hhbTYtMV9BcXVhQ29udHJvbF9yMWkxcDFfMDAxNjAxLTAwNDUxMi5uYw%3D%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/tauv_Amon_echam6-1_AquaControl_r1i1p1_001601-004512.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0VDSEFNLTYuMS9BcXVhQ29udHJvbC9BbW9uL3RhdXZfQW1vbl9lY2hhbTYtMV9BcXVhQ29udHJvbF9yMWkxcDFfMDAxNjAxLTAwNDUxMi5uYw%3D%3D,
tauu_Amon_echam6-1_AquaControl_r1i1p1_001601-004512.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0VDSEFNLTYuMS9BcXVhQ29udHJvbC9BbW9uL3RhdXVfQW1vbl9lY2hhbTYtMV9BcXVhQ29udHJvbF9yMWkxcDFfMDAxNjAxLTAwNDUxMi5uYw==,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0VDSEFNLTYuMS9BcXVhQ29udHJvbC9BbW9uL3RhdXVfQW1vbl9lY2hhbTYtMV9BcXVhQ29udHJvbF9yMWkxcDFfMDAxNjAxLTAwNDUxMi5uYw%3D%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/tauu_Amon_echam6-1_AquaControl_r1i1p1_001601-004512.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0VDSEFNLTYuMS9BcXVhQ29udHJvbC9BbW9uL3RhdXVfQW1vbl9lY2hhbTYtMV9BcXVhQ29udHJvbF9yMWkxcDFfMDAxNjAxLTAwNDUxMi5uYw%3D%3D,
tasmin_Amon_echam6-1_AquaControl_r1i1p1_003401-004512.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0VDSEFNLTYuMS9BcXVhQ29udHJvbC9BbW9uL3Rhc21pbl9BbW9uX2VjaGFtNi0xX0FxdWFDb250cm9sX3IxaTFwMV8wMDM0MDEtMDA0NTEyLm5j,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0VDSEFNLTYuMS9BcXVhQ29udHJvbC9BbW9uL3Rhc21pbl9BbW9uX2VjaGFtNi0xX0FxdWFDb250cm9sX3IxaTFwMV8wMDM0MDEtMDA0NTEyLm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/tasmin_Amon_echam6-1_AquaControl_r1i1p1_003401-004512.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0VDSEFNLTYuMS9BcXVhQ29udHJvbC9BbW9uL3Rhc21pbl9BbW9uX2VjaGFtNi0xX0FxdWFDb250cm9sX3IxaTFwMV8wMDM0MDEtMDA0NTEyLm5j,
