name,id,type,entry_url,north,south,east,west,url,fields
zg_Amon_IPSL-CM5A_Aqua4xCO2_r1i1p1_200001-202912.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0lQU0wtQ001QS9BcXVhNHhDTzIvQW1vbi96Z19BbW9uX0lQU0wtQ001QV9BcXVhNHhDTzJfcjFpMXAxXzIwMDAwMS0yMDI5MTIubmM=,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0lQU0wtQ001QS9BcXVhNHhDTzIvQW1vbi96Z19BbW9uX0lQU0wtQ001QV9BcXVhNHhDTzJfcjFpMXAxXzIwMDAwMS0yMDI5MTIubmM%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/zg_Amon_IPSL-CM5A_Aqua4xCO2_r1i1p1_200001-202912.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0lQU0wtQ001QS9BcXVhNHhDTzIvQW1vbi96Z19BbW9uX0lQU0wtQ001QV9BcXVhNHhDTzJfcjFpMXAxXzIwMDAwMS0yMDI5MTIubmM%3D,
wap_Amon_IPSL-CM5A_Aqua4xCO2_r1i1p1_200001-202912.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0lQU0wtQ001QS9BcXVhNHhDTzIvQW1vbi93YXBfQW1vbl9JUFNMLUNNNUFfQXF1YTR4Q08yX3IxaTFwMV8yMDAwMDEtMjAyOTEyLm5j,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0lQU0wtQ001QS9BcXVhNHhDTzIvQW1vbi93YXBfQW1vbl9JUFNMLUNNNUFfQXF1YTR4Q08yX3IxaTFwMV8yMDAwMDEtMjAyOTEyLm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/wap_Amon_IPSL-CM5A_Aqua4xCO2_r1i1p1_200001-202912.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0lQU0wtQ001QS9BcXVhNHhDTzIvQW1vbi93YXBfQW1vbl9JUFNMLUNNNUFfQXF1YTR4Q08yX3IxaTFwMV8yMDAwMDEtMjAyOTEyLm5j,
vas_Amon_IPSL-CM5A_Aqua4xCO2_r1i1p1_200001-202912.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0lQU0wtQ001QS9BcXVhNHhDTzIvQW1vbi92YXNfQW1vbl9JUFNMLUNNNUFfQXF1YTR4Q08yX3IxaTFwMV8yMDAwMDEtMjAyOTEyLm5j,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0lQU0wtQ001QS9BcXVhNHhDTzIvQW1vbi92YXNfQW1vbl9JUFNMLUNNNUFfQXF1YTR4Q08yX3IxaTFwMV8yMDAwMDEtMjAyOTEyLm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/vas_Amon_IPSL-CM5A_Aqua4xCO2_r1i1p1_200001-202912.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0lQU0wtQ001QS9BcXVhNHhDTzIvQW1vbi92YXNfQW1vbl9JUFNMLUNNNUFfQXF1YTR4Q08yX3IxaTFwMV8yMDAwMDEtMjAyOTEyLm5j,
va_Amon_IPSL-CM5A_Aqua4xCO2_r1i1p1_200001-202912.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0lQU0wtQ001QS9BcXVhNHhDTzIvQW1vbi92YV9BbW9uX0lQU0wtQ001QV9BcXVhNHhDTzJfcjFpMXAxXzIwMDAwMS0yMDI5MTIubmM=,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0lQU0wtQ001QS9BcXVhNHhDTzIvQW1vbi92YV9BbW9uX0lQU0wtQ001QV9BcXVhNHhDTzJfcjFpMXAxXzIwMDAwMS0yMDI5MTIubmM%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/va_Amon_IPSL-CM5A_Aqua4xCO2_r1i1p1_200001-202912.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0lQU0wtQ001QS9BcXVhNHhDTzIvQW1vbi92YV9BbW9uX0lQU0wtQ001QV9BcXVhNHhDTzJfcjFpMXAxXzIwMDAwMS0yMDI5MTIubmM%3D,
uas_Amon_IPSL-CM5A_Aqua4xCO2_r1i1p1_200001-202912.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0lQU0wtQ001QS9BcXVhNHhDTzIvQW1vbi91YXNfQW1vbl9JUFNMLUNNNUFfQXF1YTR4Q08yX3IxaTFwMV8yMDAwMDEtMjAyOTEyLm5j,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0lQU0wtQ001QS9BcXVhNHhDTzIvQW1vbi91YXNfQW1vbl9JUFNMLUNNNUFfQXF1YTR4Q08yX3IxaTFwMV8yMDAwMDEtMjAyOTEyLm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/uas_Amon_IPSL-CM5A_Aqua4xCO2_r1i1p1_200001-202912.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0lQU0wtQ001QS9BcXVhNHhDTzIvQW1vbi91YXNfQW1vbl9JUFNMLUNNNUFfQXF1YTR4Q08yX3IxaTFwMV8yMDAwMDEtMjAyOTEyLm5j,
ua_Amon_IPSL-CM5A_Aqua4xCO2_r1i1p1_200001-202912.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0lQU0wtQ001QS9BcXVhNHhDTzIvQW1vbi91YV9BbW9uX0lQU0wtQ001QV9BcXVhNHhDTzJfcjFpMXAxXzIwMDAwMS0yMDI5MTIubmM=,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0lQU0wtQ001QS9BcXVhNHhDTzIvQW1vbi91YV9BbW9uX0lQU0wtQ001QV9BcXVhNHhDTzJfcjFpMXAxXzIwMDAwMS0yMDI5MTIubmM%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/ua_Amon_IPSL-CM5A_Aqua4xCO2_r1i1p1_200001-202912.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0lQU0wtQ001QS9BcXVhNHhDTzIvQW1vbi91YV9BbW9uX0lQU0wtQ001QV9BcXVhNHhDTzJfcjFpMXAxXzIwMDAwMS0yMDI5MTIubmM%3D,
ts_Amon_IPSL-CM5A_Aqua4xCO2_r1i1p1_200001-202912.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0lQU0wtQ001QS9BcXVhNHhDTzIvQW1vbi90c19BbW9uX0lQU0wtQ001QV9BcXVhNHhDTzJfcjFpMXAxXzIwMDAwMS0yMDI5MTIubmM=,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0lQU0wtQ001QS9BcXVhNHhDTzIvQW1vbi90c19BbW9uX0lQU0wtQ001QV9BcXVhNHhDTzJfcjFpMXAxXzIwMDAwMS0yMDI5MTIubmM%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/ts_Amon_IPSL-CM5A_Aqua4xCO2_r1i1p1_200001-202912.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0lQU0wtQ001QS9BcXVhNHhDTzIvQW1vbi90c19BbW9uX0lQU0wtQ001QV9BcXVhNHhDTzJfcjFpMXAxXzIwMDAwMS0yMDI5MTIubmM%3D,
tauv_Amon_IPSL-CM5A_Aqua4xCO2_r1i1p1_200001-202912.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0lQU0wtQ001QS9BcXVhNHhDTzIvQW1vbi90YXV2X0Ftb25fSVBTTC1DTTVBX0FxdWE0eENPMl9yMWkxcDFfMjAwMDAxLTIwMjkxMi5uYw==,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0lQU0wtQ001QS9BcXVhNHhDTzIvQW1vbi90YXV2X0Ftb25fSVBTTC1DTTVBX0FxdWE0eENPMl9yMWkxcDFfMjAwMDAxLTIwMjkxMi5uYw%3D%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/tauv_Amon_IPSL-CM5A_Aqua4xCO2_r1i1p1_200001-202912.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0lQU0wtQ001QS9BcXVhNHhDTzIvQW1vbi90YXV2X0Ftb25fSVBTTC1DTTVBX0FxdWE0eENPMl9yMWkxcDFfMjAwMDAxLTIwMjkxMi5uYw%3D%3D,
tauu_Amon_IPSL-CM5A_Aqua4xCO2_r1i1p1_200001-202912.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0lQU0wtQ001QS9BcXVhNHhDTzIvQW1vbi90YXV1X0Ftb25fSVBTTC1DTTVBX0FxdWE0eENPMl9yMWkxcDFfMjAwMDAxLTIwMjkxMi5uYw==,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0lQU0wtQ001QS9BcXVhNHhDTzIvQW1vbi90YXV1X0Ftb25fSVBTTC1DTTVBX0FxdWE0eENPMl9yMWkxcDFfMjAwMDAxLTIwMjkxMi5uYw%3D%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/tauu_Amon_IPSL-CM5A_Aqua4xCO2_r1i1p1_200001-202912.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0lQU0wtQ001QS9BcXVhNHhDTzIvQW1vbi90YXV1X0Ftb25fSVBTTC1DTTVBX0FxdWE0eENPMl9yMWkxcDFfMjAwMDAxLTIwMjkxMi5uYw%3D%3D,
tas_Amon_IPSL-CM5A_Aqua4xCO2_r1i1p1_200001-202912.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0lQU0wtQ001QS9BcXVhNHhDTzIvQW1vbi90YXNfQW1vbl9JUFNMLUNNNUFfQXF1YTR4Q08yX3IxaTFwMV8yMDAwMDEtMjAyOTEyLm5j,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0lQU0wtQ001QS9BcXVhNHhDTzIvQW1vbi90YXNfQW1vbl9JUFNMLUNNNUFfQXF1YTR4Q08yX3IxaTFwMV8yMDAwMDEtMjAyOTEyLm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/tas_Amon_IPSL-CM5A_Aqua4xCO2_r1i1p1_200001-202912.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0lQU0wtQ001QS9BcXVhNHhDTzIvQW1vbi90YXNfQW1vbl9JUFNMLUNNNUFfQXF1YTR4Q08yX3IxaTFwMV8yMDAwMDEtMjAyOTEyLm5j,
ta_Amon_IPSL-CM5A_Aqua4xCO2_r1i1p1_200001-202912.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0lQU0wtQ001QS9BcXVhNHhDTzIvQW1vbi90YV9BbW9uX0lQU0wtQ001QV9BcXVhNHhDTzJfcjFpMXAxXzIwMDAwMS0yMDI5MTIubmM=,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0lQU0wtQ001QS9BcXVhNHhDTzIvQW1vbi90YV9BbW9uX0lQU0wtQ001QV9BcXVhNHhDTzJfcjFpMXAxXzIwMDAwMS0yMDI5MTIubmM%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/ta_Amon_IPSL-CM5A_Aqua4xCO2_r1i1p1_200001-202912.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0lQU0wtQ001QS9BcXVhNHhDTzIvQW1vbi90YV9BbW9uX0lQU0wtQ001QV9BcXVhNHhDTzJfcjFpMXAxXzIwMDAwMS0yMDI5MTIubmM%3D,
sfcWind_Amon_IPSL-CM5A_Aqua4xCO2_r1i1p1_200001-202912.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L0lQU0wtQ001QS9BcXVhNHhDTzIvQW1vbi9zZmNXaW5kX0Ftb25fSVBTTC1DTTVBX0FxdWE0eENPMl9yMWkxcDFfMjAwMDAxLTIwMjkxMi5uYw==,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0lQU0wtQ001QS9BcXVhNHhDTzIvQW1vbi9zZmNXaW5kX0Ftb25fSVBTTC1DTTVBX0FxdWE0eENPMl9yMWkxcDFfMjAwMDAxLTIwMjkxMi5uYw%3D%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/sfcWind_Amon_IPSL-CM5A_Aqua4xCO2_r1i1p1_200001-202912.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL0lQU0wtQ001QS9BcXVhNHhDTzIvQW1vbi9zZmNXaW5kX0Ftb25fSVBTTC1DTTVBX0FxdWE0eENPMl9yMWkxcDFfMjAwMDAxLTIwMjkxMi5uYw%3D%3D,
