name,id,type,entry_url,north,south,east,west,url,fields
zg_Amon_AquaControl_amip_r1i1p1_000201-004512.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L05vckVTTTIvQXF1YUNvbnRyb2wvQW1vbi96Z19BbW9uX0FxdWFDb250cm9sX2FtaXBfcjFpMXAxXzAwMDIwMS0wMDQ1MTIubmM=,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL05vckVTTTIvQXF1YUNvbnRyb2wvQW1vbi96Z19BbW9uX0FxdWFDb250cm9sX2FtaXBfcjFpMXAxXzAwMDIwMS0wMDQ1MTIubmM%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/zg_Amon_AquaControl_amip_r1i1p1_000201-004512.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL05vckVTTTIvQXF1YUNvbnRyb2wvQW1vbi96Z19BbW9uX0FxdWFDb250cm9sX2FtaXBfcjFpMXAxXzAwMDIwMS0wMDQ1MTIubmM%3D,
wap_Amon_AquaControl_amip_r1i1p1_000201-004512.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L05vckVTTTIvQXF1YUNvbnRyb2wvQW1vbi93YXBfQW1vbl9BcXVhQ29udHJvbF9hbWlwX3IxaTFwMV8wMDAyMDEtMDA0NTEyLm5j,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL05vckVTTTIvQXF1YUNvbnRyb2wvQW1vbi93YXBfQW1vbl9BcXVhQ29udHJvbF9hbWlwX3IxaTFwMV8wMDAyMDEtMDA0NTEyLm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/wap_Amon_AquaControl_amip_r1i1p1_000201-004512.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL05vckVTTTIvQXF1YUNvbnRyb2wvQW1vbi93YXBfQW1vbl9BcXVhQ29udHJvbF9hbWlwX3IxaTFwMV8wMDAyMDEtMDA0NTEyLm5j,
vas_Amon_AquaControl_amip_r1i1p1_000201-004512.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L05vckVTTTIvQXF1YUNvbnRyb2wvQW1vbi92YXNfQW1vbl9BcXVhQ29udHJvbF9hbWlwX3IxaTFwMV8wMDAyMDEtMDA0NTEyLm5j,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL05vckVTTTIvQXF1YUNvbnRyb2wvQW1vbi92YXNfQW1vbl9BcXVhQ29udHJvbF9hbWlwX3IxaTFwMV8wMDAyMDEtMDA0NTEyLm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/vas_Amon_AquaControl_amip_r1i1p1_000201-004512.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL05vckVTTTIvQXF1YUNvbnRyb2wvQW1vbi92YXNfQW1vbl9BcXVhQ29udHJvbF9hbWlwX3IxaTFwMV8wMDAyMDEtMDA0NTEyLm5j,
va_Amon_AquaControl_amip_r1i1p1_000201-004512.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L05vckVTTTIvQXF1YUNvbnRyb2wvQW1vbi92YV9BbW9uX0FxdWFDb250cm9sX2FtaXBfcjFpMXAxXzAwMDIwMS0wMDQ1MTIubmM=,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL05vckVTTTIvQXF1YUNvbnRyb2wvQW1vbi92YV9BbW9uX0FxdWFDb250cm9sX2FtaXBfcjFpMXAxXzAwMDIwMS0wMDQ1MTIubmM%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/va_Amon_AquaControl_amip_r1i1p1_000201-004512.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL05vckVTTTIvQXF1YUNvbnRyb2wvQW1vbi92YV9BbW9uX0FxdWFDb250cm9sX2FtaXBfcjFpMXAxXzAwMDIwMS0wMDQ1MTIubmM%3D,
uas_Amon_AquaControl_amip_r1i1p1_000201-004512.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L05vckVTTTIvQXF1YUNvbnRyb2wvQW1vbi91YXNfQW1vbl9BcXVhQ29udHJvbF9hbWlwX3IxaTFwMV8wMDAyMDEtMDA0NTEyLm5j,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL05vckVTTTIvQXF1YUNvbnRyb2wvQW1vbi91YXNfQW1vbl9BcXVhQ29udHJvbF9hbWlwX3IxaTFwMV8wMDAyMDEtMDA0NTEyLm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/uas_Amon_AquaControl_amip_r1i1p1_000201-004512.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL05vckVTTTIvQXF1YUNvbnRyb2wvQW1vbi91YXNfQW1vbl9BcXVhQ29udHJvbF9hbWlwX3IxaTFwMV8wMDAyMDEtMDA0NTEyLm5j,
ua_Amon_AquaControl_amip_r1i1p1_000201-004512.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L05vckVTTTIvQXF1YUNvbnRyb2wvQW1vbi91YV9BbW9uX0FxdWFDb250cm9sX2FtaXBfcjFpMXAxXzAwMDIwMS0wMDQ1MTIubmM=,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL05vckVTTTIvQXF1YUNvbnRyb2wvQW1vbi91YV9BbW9uX0FxdWFDb250cm9sX2FtaXBfcjFpMXAxXzAwMDIwMS0wMDQ1MTIubmM%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/ua_Amon_AquaControl_amip_r1i1p1_000201-004512.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL05vckVTTTIvQXF1YUNvbnRyb2wvQW1vbi91YV9BbW9uX0FxdWFDb250cm9sX2FtaXBfcjFpMXAxXzAwMDIwMS0wMDQ1MTIubmM%3D,
ts_Amon_AquaControl_amip_r1i1p1_000201-004512.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L05vckVTTTIvQXF1YUNvbnRyb2wvQW1vbi90c19BbW9uX0FxdWFDb250cm9sX2FtaXBfcjFpMXAxXzAwMDIwMS0wMDQ1MTIubmM=,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL05vckVTTTIvQXF1YUNvbnRyb2wvQW1vbi90c19BbW9uX0FxdWFDb250cm9sX2FtaXBfcjFpMXAxXzAwMDIwMS0wMDQ1MTIubmM%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/ts_Amon_AquaControl_amip_r1i1p1_000201-004512.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL05vckVTTTIvQXF1YUNvbnRyb2wvQW1vbi90c19BbW9uX0FxdWFDb250cm9sX2FtaXBfcjFpMXAxXzAwMDIwMS0wMDQ1MTIubmM%3D,
tauv_Amon_AquaControl_amip_r1i1p1_000201-004512.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L05vckVTTTIvQXF1YUNvbnRyb2wvQW1vbi90YXV2X0Ftb25fQXF1YUNvbnRyb2xfYW1pcF9yMWkxcDFfMDAwMjAxLTAwNDUxMi5uYw==,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL05vckVTTTIvQXF1YUNvbnRyb2wvQW1vbi90YXV2X0Ftb25fQXF1YUNvbnRyb2xfYW1pcF9yMWkxcDFfMDAwMjAxLTAwNDUxMi5uYw%3D%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/tauv_Amon_AquaControl_amip_r1i1p1_000201-004512.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL05vckVTTTIvQXF1YUNvbnRyb2wvQW1vbi90YXV2X0Ftb25fQXF1YUNvbnRyb2xfYW1pcF9yMWkxcDFfMDAwMjAxLTAwNDUxMi5uYw%3D%3D,
tauu_Amon_AquaControl_amip_r1i1p1_000201-004512.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L05vckVTTTIvQXF1YUNvbnRyb2wvQW1vbi90YXV1X0Ftb25fQXF1YUNvbnRyb2xfYW1pcF9yMWkxcDFfMDAwMjAxLTAwNDUxMi5uYw==,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL05vckVTTTIvQXF1YUNvbnRyb2wvQW1vbi90YXV1X0Ftb25fQXF1YUNvbnRyb2xfYW1pcF9yMWkxcDFfMDAwMjAxLTAwNDUxMi5uYw%3D%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/tauu_Amon_AquaControl_amip_r1i1p1_000201-004512.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL05vckVTTTIvQXF1YUNvbnRyb2wvQW1vbi90YXV1X0Ftb25fQXF1YUNvbnRyb2xfYW1pcF9yMWkxcDFfMDAwMjAxLTAwNDUxMi5uYw%3D%3D,
tas_Amon_AquaControl_amip_r1i1p1_000201-004512.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L05vckVTTTIvQXF1YUNvbnRyb2wvQW1vbi90YXNfQW1vbl9BcXVhQ29udHJvbF9hbWlwX3IxaTFwMV8wMDAyMDEtMDA0NTEyLm5j,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL05vckVTTTIvQXF1YUNvbnRyb2wvQW1vbi90YXNfQW1vbl9BcXVhQ29udHJvbF9hbWlwX3IxaTFwMV8wMDAyMDEtMDA0NTEyLm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/tas_Amon_AquaControl_amip_r1i1p1_000201-004512.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL05vckVTTTIvQXF1YUNvbnRyb2wvQW1vbi90YXNfQW1vbl9BcXVhQ29udHJvbF9hbWlwX3IxaTFwMV8wMDAyMDEtMDA0NTEyLm5j,
