name,id,type,entry_url,north,south,east,west,url,fields
zg_Amon_Land4xCO2_amip_r1i1p1_008601-012602.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L05vckVTTTIvTGFuZDR4Q08yL0Ftb24vemdfQW1vbl9MYW5kNHhDTzJfYW1pcF9yMWkxcDFfMDA4NjAxLTAxMjYwMi5uYw==,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL05vckVTTTIvTGFuZDR4Q08yL0Ftb24vemdfQW1vbl9MYW5kNHhDTzJfYW1pcF9yMWkxcDFfMDA4NjAxLTAxMjYwMi5uYw%3D%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/zg_Amon_Land4xCO2_amip_r1i1p1_008601-012602.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL05vckVTTTIvTGFuZDR4Q08yL0Ftb24vemdfQW1vbl9MYW5kNHhDTzJfYW1pcF9yMWkxcDFfMDA4NjAxLTAxMjYwMi5uYw%3D%3D,
wap_Amon_Land4xCO2_amip_r1i1p1_008601-012602.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L05vckVTTTIvTGFuZDR4Q08yL0Ftb24vd2FwX0Ftb25fTGFuZDR4Q08yX2FtaXBfcjFpMXAxXzAwODYwMS0wMTI2MDIubmM=,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL05vckVTTTIvTGFuZDR4Q08yL0Ftb24vd2FwX0Ftb25fTGFuZDR4Q08yX2FtaXBfcjFpMXAxXzAwODYwMS0wMTI2MDIubmM%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/wap_Amon_Land4xCO2_amip_r1i1p1_008601-012602.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL05vckVTTTIvTGFuZDR4Q08yL0Ftb24vd2FwX0Ftb25fTGFuZDR4Q08yX2FtaXBfcjFpMXAxXzAwODYwMS0wMTI2MDIubmM%3D,
vas_Amon_Land4xCO2_amip_r1i1p1_008601-012602.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L05vckVTTTIvTGFuZDR4Q08yL0Ftb24vdmFzX0Ftb25fTGFuZDR4Q08yX2FtaXBfcjFpMXAxXzAwODYwMS0wMTI2MDIubmM=,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL05vckVTTTIvTGFuZDR4Q08yL0Ftb24vdmFzX0Ftb25fTGFuZDR4Q08yX2FtaXBfcjFpMXAxXzAwODYwMS0wMTI2MDIubmM%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/vas_Amon_Land4xCO2_amip_r1i1p1_008601-012602.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL05vckVTTTIvTGFuZDR4Q08yL0Ftb24vdmFzX0Ftb25fTGFuZDR4Q08yX2FtaXBfcjFpMXAxXzAwODYwMS0wMTI2MDIubmM%3D,
va_Amon_Land4xCO2_amip_r1i1p1_008601-012602.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L05vckVTTTIvTGFuZDR4Q08yL0Ftb24vdmFfQW1vbl9MYW5kNHhDTzJfYW1pcF9yMWkxcDFfMDA4NjAxLTAxMjYwMi5uYw==,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL05vckVTTTIvTGFuZDR4Q08yL0Ftb24vdmFfQW1vbl9MYW5kNHhDTzJfYW1pcF9yMWkxcDFfMDA4NjAxLTAxMjYwMi5uYw%3D%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/va_Amon_Land4xCO2_amip_r1i1p1_008601-012602.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL05vckVTTTIvTGFuZDR4Q08yL0Ftb24vdmFfQW1vbl9MYW5kNHhDTzJfYW1pcF9yMWkxcDFfMDA4NjAxLTAxMjYwMi5uYw%3D%3D,
uas_Amon_Land4xCO2_amip_r1i1p1_008601-012602.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L05vckVTTTIvTGFuZDR4Q08yL0Ftb24vdWFzX0Ftb25fTGFuZDR4Q08yX2FtaXBfcjFpMXAxXzAwODYwMS0wMTI2MDIubmM=,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL05vckVTTTIvTGFuZDR4Q08yL0Ftb24vdWFzX0Ftb25fTGFuZDR4Q08yX2FtaXBfcjFpMXAxXzAwODYwMS0wMTI2MDIubmM%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/uas_Amon_Land4xCO2_amip_r1i1p1_008601-012602.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL05vckVTTTIvTGFuZDR4Q08yL0Ftb24vdWFzX0Ftb25fTGFuZDR4Q08yX2FtaXBfcjFpMXAxXzAwODYwMS0wMTI2MDIubmM%3D,
ua_Amon_Land4xCO2_amip_r1i1p1_008601-012602.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L05vckVTTTIvTGFuZDR4Q08yL0Ftb24vdWFfQW1vbl9MYW5kNHhDTzJfYW1pcF9yMWkxcDFfMDA4NjAxLTAxMjYwMi5uYw==,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL05vckVTTTIvTGFuZDR4Q08yL0Ftb24vdWFfQW1vbl9MYW5kNHhDTzJfYW1pcF9yMWkxcDFfMDA4NjAxLTAxMjYwMi5uYw%3D%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/ua_Amon_Land4xCO2_amip_r1i1p1_008601-012602.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL05vckVTTTIvTGFuZDR4Q08yL0Ftb24vdWFfQW1vbl9MYW5kNHhDTzJfYW1pcF9yMWkxcDFfMDA4NjAxLTAxMjYwMi5uYw%3D%3D,
ts_Amon_Land4xCO2_amip_r1i1p1_008601-012602.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L05vckVTTTIvTGFuZDR4Q08yL0Ftb24vdHNfQW1vbl9MYW5kNHhDTzJfYW1pcF9yMWkxcDFfMDA4NjAxLTAxMjYwMi5uYw==,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL05vckVTTTIvTGFuZDR4Q08yL0Ftb24vdHNfQW1vbl9MYW5kNHhDTzJfYW1pcF9yMWkxcDFfMDA4NjAxLTAxMjYwMi5uYw%3D%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/ts_Amon_Land4xCO2_amip_r1i1p1_008601-012602.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL05vckVTTTIvTGFuZDR4Q08yL0Ftb24vdHNfQW1vbl9MYW5kNHhDTzJfYW1pcF9yMWkxcDFfMDA4NjAxLTAxMjYwMi5uYw%3D%3D,
test.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L05vckVTTTIvTGFuZDR4Q08yL0Ftb24vdGVzdC5uYw==,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL05vckVTTTIvTGFuZDR4Q08yL0Ftb24vdGVzdC5uYw%3D%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/test.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL05vckVTTTIvTGFuZDR4Q08yL0Ftb24vdGVzdC5uYw%3D%3D,
tauv_Amon_Land4xCO2_amip_r1i1p1_008601-012602.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L05vckVTTTIvTGFuZDR4Q08yL0Ftb24vdGF1dl9BbW9uX0xhbmQ0eENPMl9hbWlwX3IxaTFwMV8wMDg2MDEtMDEyNjAyLm5j,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL05vckVTTTIvTGFuZDR4Q08yL0Ftb24vdGF1dl9BbW9uX0xhbmQ0eENPMl9hbWlwX3IxaTFwMV8wMDg2MDEtMDEyNjAyLm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/tauv_Amon_Land4xCO2_amip_r1i1p1_008601-012602.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL05vckVTTTIvTGFuZDR4Q08yL0Ftb24vdGF1dl9BbW9uX0xhbmQ0eENPMl9hbWlwX3IxaTFwMV8wMDg2MDEtMDEyNjAyLm5j,
tauu_Amon_Land4xCO2_amip_r1i1p1_008601-012602.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L05vckVTTTIvTGFuZDR4Q08yL0Ftb24vdGF1dV9BbW9uX0xhbmQ0eENPMl9hbWlwX3IxaTFwMV8wMDg2MDEtMDEyNjAyLm5j,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL05vckVTTTIvTGFuZDR4Q08yL0Ftb24vdGF1dV9BbW9uX0xhbmQ0eENPMl9hbWlwX3IxaTFwMV8wMDg2MDEtMDEyNjAyLm5j,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/tauu_Amon_Land4xCO2_amip_r1i1p1_008601-012602.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL05vckVTTTIvTGFuZDR4Q08yL0Ftb24vdGF1dV9BbW9uX0xhbmQ0eENPMl9hbWlwX3IxaTFwMV8wMDg2MDEtMDEyNjAyLm5j,
tas_Amon_Land4xCO2_amip_r1i1p1_008601-012602.nc,synth:c74267a4-dcdd-4c30-ad10-784a279aa022:L05vckVTTTIvTGFuZDR4Q08yL0Ftb24vdGFzX0Ftb25fTGFuZDR4Q08yX2FtaXBfcjFpMXAxXzAwODYwMS0wMTI2MDIubmM=,file,https://weather.rsmas.miami.edu:443/repository/entry/show?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL05vckVTTTIvTGFuZDR4Q08yL0Ftb24vdGFzX0Ftb25fTGFuZDR4Q08yX2FtaXBfcjFpMXAxXzAwODYwMS0wMTI2MDIubmM%3D,-999999.0,-999999.0,-999999.0,-999999.0,https://weather.rsmas.miami.edu:443/repository/entry/get/tas_Amon_Land4xCO2_amip_r1i1p1_008601-012602.nc?entryid=synth%3Ac74267a4-dcdd-4c30-ad10-784a279aa022%3AL05vckVTTTIvTGFuZDR4Q08yL0Ftb24vdGFzX0Ftb25fTGFuZDR4Q08yX2FtaXBfcjFpMXAxXzAwODYwMS0wMTI2MDIubmM%3D,
